"Country","Method","Energy.type","Last.stage","Year","Ledger.side","Flow.aggregation.point","Flow","Product","Unit","E.dot"
"CUB","PCM","E","Final",1982,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline","TJ",44755.7448
"CUB","PCM","E","Final",1982,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline [from Resources]","TJ",-44755.7448
"CUB","PCM","E","Final",1983,"Consumption","Industry","Industry not elsewhere specified","Biogasoline","TJ",175.7116
"CUB","PCM","E","Final",1983,"Consumption","Other","Final consumption not elsewhere specified","Biogasoline","TJ",351.4191
"CUB","PCM","E","Final",1983,"Consumption","Other","Residential","Biogasoline","TJ",44253.7182
"CUB","PCM","E","Final",1983,"Supply","TFC compare","Statistical differences","Biogasoline","TJ",200.8115
"CUB","PCM","E","Final",1983,"Supply","Total primary energy supply","Resources [of Biogasoline]","Biogasoline [from Resources]","TJ",44580.0374
"CUB","PCM","E","Final",1983,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline","TJ",44580.0374
"CUB","PCM","E","Final",1983,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline [from Resources]","TJ",-44580.0374
"CUB","PCM","E","Final",1984,"Consumption","Industry","Industry not elsewhere specified","Biogasoline","TJ",200.8115
"CUB","PCM","E","Final",1984,"Consumption","Other","Final consumption not elsewhere specified","Biogasoline","TJ",401.623
"CUB","PCM","E","Final",1984,"Consumption","Other","Residential","Biogasoline","TJ",45006.7602
"CUB","PCM","E","Final",1984,"Supply","TFC compare","Statistical differences","Biogasoline","TJ",-200.807299999997
"CUB","PCM","E","Final",1984,"Supply","Total primary energy supply","Resources [of Biogasoline]","Biogasoline [from Resources]","TJ",45810.002
"CUB","PCM","E","Final",1984,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline","TJ",45810.002
"CUB","PCM","E","Final",1984,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline [from Resources]","TJ",-45810.002
"CUB","PCM","E","Final",1985,"Consumption","Industry","Industry not elsewhere specified","Biogasoline","TJ",200.8115
"CUB","PCM","E","Final",1985,"Consumption","Other","Final consumption not elsewhere specified","Biogasoline","TJ",150.6076
"CUB","PCM","E","Final",1985,"Consumption","Other","Residential","Biogasoline","TJ",47567.0973
"CUB","PCM","E","Final",1985,"Supply","TFC compare","Statistical differences","Biogasoline","TJ",-426.726999999988
"CUB","PCM","E","Final",1985,"Supply","Total primary energy supply","Resources [of Biogasoline]","Biogasoline [from Resources]","TJ",48345.2434
"CUB","PCM","E","Final",1985,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline","TJ",48345.2434
"CUB","PCM","E","Final",1985,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline [from Resources]","TJ",-48345.2434
"CUB","PCM","E","Final",1986,"Consumption","Industry","Industry not elsewhere specified","Biogasoline","TJ",200.8115
"CUB","PCM","E","Final",1986,"Consumption","Other","Final consumption not elsewhere specified","Biogasoline","TJ",175.7116
"CUB","PCM","E","Final",1986,"Consumption","Other","Residential","Biogasoline","TJ",49048.0815
"CUB","PCM","E","Final",1986,"Supply","TFC compare","Statistical differences","Biogasoline","TJ",-602.43029999999
"CUB","PCM","E","Final",1986,"Supply","Total primary energy supply","Resources [of Biogasoline]","Biogasoline [from Resources]","TJ",50027.0349
"CUB","PCM","E","Final",1986,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline","TJ",50027.0349
"CUB","PCM","E","Final",1986,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline [from Resources]","TJ",-50027.0349
"CUB","PCM","E","Final",1987,"Consumption","Industry","Industry not elsewhere specified","Biogasoline","TJ",200.8115
"CUB","PCM","E","Final",1987,"Consumption","Other","Final consumption not elsewhere specified","Biogasoline","TJ",200.8115
"CUB","PCM","E","Final",1987,"Consumption","Other","Residential","Biogasoline","TJ",49575.208
"CUB","PCM","E","Final",1987,"Supply","TFC compare","Statistical differences","Biogasoline","TJ",-1932.80689999999
"CUB","PCM","E","Final",1987,"Supply","Total primary energy supply","Resources [of Biogasoline]","Biogasoline [from Resources]","TJ",51909.6379
"CUB","PCM","E","Final",1987,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline","TJ",51909.6379
"CUB","PCM","E","Final",1987,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline [from Resources]","TJ",-51909.6379
"CUB","PCM","E","Final",1988,"Consumption","Industry","Industry not elsewhere specified","Biogasoline","TJ",225.9114
"CUB","PCM","E","Final",1988,"Consumption","Other","Final consumption not elsewhere specified","Biogasoline","TJ",225.9114
"CUB","PCM","E","Final",1988,"Consumption","Other","Residential","Biogasoline","TJ",51156.5958
"CUB","PCM","E","Final",1988,"Supply","TFC compare","Statistical differences","Biogasoline","TJ",-401.622900000003
"CUB","PCM","E","Final",1988,"Supply","Total primary energy supply","Resources [of Biogasoline]","Biogasoline [from Resources]","TJ",52010.0415
"CUB","PCM","E","Final",1988,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline","TJ",52010.0415
"CUB","PCM","E","Final",1988,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline [from Resources]","TJ",-52010.0415
"CUB","PCM","E","Final",1989,"Consumption","Industry","Industry not elsewhere specified","Biogasoline","TJ",175.7116
"CUB","PCM","E","Final",1989,"Consumption","Other","Final consumption not elsewhere specified","Biogasoline","TJ",200.8115
"CUB","PCM","E","Final",1989,"Consumption","Other","Residential","Biogasoline","TJ",51733.9262
"CUB","PCM","E","Final",1989,"Supply","TFC compare","Statistical differences","Biogasoline","TJ",-401.61879999999
"CUB","PCM","E","Final",1989,"Supply","Total primary energy supply","Resources [of Biogasoline]","Biogasoline [from Resources]","TJ",52512.0681
"CUB","PCM","E","Final",1989,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline","TJ",52512.0681
"CUB","PCM","E","Final",1989,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline [from Resources]","TJ",-52512.0681
"CUB","PCM","E","Final",1990,"Consumption","Industry","Industry not elsewhere specified","Biogasoline","TJ",150.6076
"CUB","PCM","E","Final",1990,"Consumption","Other","Final consumption not elsewhere specified","Biogasoline","TJ",175.7116
"CUB","PCM","E","Final",1990,"Consumption","Other","Residential","Biogasoline","TJ",53139.6025
"CUB","PCM","E","Final",1990,"Supply","TFC compare","Statistical differences","Biogasoline","TJ",-1656.69159999999
"CUB","PCM","E","Final",1990,"Supply","Total primary energy supply","Resources [of Biogasoline]","Biogasoline [from Resources]","TJ",55122.6133
"CUB","PCM","E","Final",1990,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline","TJ",55122.6133
"CUB","PCM","E","Final",1990,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline [from Resources]","TJ",-55122.6133
"CUB","PCM","E","Final",1991,"Consumption","Industry","Industry not elsewhere specified","Biogasoline","TJ",100.4037
"CUB","PCM","E","Final",1991,"Consumption","Other","Final consumption not elsewhere specified","Biogasoline","TJ",100.4037
"CUB","PCM","E","Final",1991,"Consumption","Other","Residential","Biogasoline","TJ",53691.833
"CUB","PCM","E","Final",1991,"Supply","TFC compare","Statistical differences","Biogasoline","TJ",1857.4948
"CUB","PCM","E","Final",1991,"Supply","Total primary energy supply","Resources [of Biogasoline]","Biogasoline [from Resources]","TJ",52035.1456
"CUB","PCM","E","Final",1991,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline","TJ",52035.1456
"CUB","PCM","E","Final",1991,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline [from Resources]","TJ",-52035.1456
"CUB","PCM","E","Final",1992,"Consumption","Industry","Industry not elsewhere specified","Biogasoline","TJ",100.4037
"CUB","PCM","E","Final",1992,"Consumption","Other","Final consumption not elsewhere specified","Biogasoline","TJ",100.4037
"CUB","PCM","E","Final",1992,"Consumption","Other","Residential","Biogasoline","TJ",42647.2305
"CUB","PCM","E","Final",1992,"Supply","TFC compare","Statistical differences","Biogasoline","TJ",-3915.81759999999
"CUB","PCM","E","Final",1992,"Supply","Total primary energy supply","Resources [of Biogasoline]","Biogasoline [from Resources]","TJ",46763.8555
"CUB","PCM","E","Final",1992,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline","TJ",46763.8555
"CUB","PCM","E","Final",1992,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline [from Resources]","TJ",-46763.8555
"CUB","PCM","E","Final",1993,"Consumption","Industry","Industry not elsewhere specified","Biogasoline","TJ",50.2039
"CUB","PCM","E","Final",1993,"Consumption","Other","Final consumption not elsewhere specified","Biogasoline","TJ",25.0999
"CUB","PCM","E","Final",1993,"Consumption","Other","Residential","Biogasoline","TJ",34213.1689
"CUB","PCM","E","Final",1993,"Supply","TFC compare","Statistical differences","Biogasoline","TJ",-200.8115
"CUB","PCM","E","Final",1993,"Supply","Total primary energy supply","Resources [of Biogasoline]","Biogasoline [from Resources]","TJ",34489.2842
"CUB","PCM","E","Final",1993,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline","TJ",34489.2842
"CUB","PCM","E","Final",1993,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline [from Resources]","TJ",-34489.2842
"CUB","PCM","E","Final",1994,"Consumption","Industry","Industry not elsewhere specified","Biogasoline","TJ",50.2039
"CUB","PCM","E","Final",1994,"Consumption","Other","Final consumption not elsewhere specified","Biogasoline","TJ",50.2039
"CUB","PCM","E","Final",1994,"Consumption","Other","Residential","Biogasoline","TJ",34062.5613
"CUB","PCM","E","Final",1994,"Supply","TFC compare","Statistical differences","Biogasoline","TJ",-1405.6763
"CUB","PCM","E","Final",1994,"Supply","Total primary energy supply","Resources [of Biogasoline]","Biogasoline [from Resources]","TJ",35568.6454
"CUB","PCM","E","Final",1994,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline","TJ",35568.6454
"CUB","PCM","E","Final",1994,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline [from Resources]","TJ",-35568.6454
"CUB","PCM","E","Final",1995,"Consumption","Industry","Industry not elsewhere specified","Biogasoline","TJ",225.9114
"CUB","PCM","E","Final",1995,"Consumption","Other","Final consumption not elsewhere specified","Biogasoline","TJ",175.7116
"CUB","PCM","E","Final",1995,"Consumption","Other","Residential","Biogasoline","TJ",35920.0644
"CUB","PCM","E","Final",1995,"Supply","TFC compare","Statistical differences","Biogasoline","TJ",3137.67580000001
"CUB","PCM","E","Final",1995,"Supply","Total primary energy supply","Resources [of Biogasoline]","Biogasoline [from Resources]","TJ",33184.0116
"CUB","PCM","E","Final",1995,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline","TJ",33184.0116
"CUB","PCM","E","Final",1995,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline [from Resources]","TJ",-33184.0116
"CUB","PCM","E","Final",1996,"Consumption","Industry","Industry not elsewhere specified","Biogasoline","TJ",284.3968
"CUB","PCM","E","Final",1996,"Consumption","Other","Final consumption not elsewhere specified","Biogasoline","TJ",232.6898
"CUB","PCM","E","Final",1996,"Consumption","Other","Residential","Biogasoline","TJ",35058.3205
"CUB","PCM","E","Final",1996,"Supply","TFC compare","Statistical differences","Biogasoline","TJ",749.7764
"CUB","PCM","E","Final",1996,"Supply","Total primary energy supply","Resources [of Biogasoline]","Biogasoline [from Resources]","TJ",34825.6307
"CUB","PCM","E","Final",1996,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline","TJ",34825.6307
"CUB","PCM","E","Final",1996,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline [from Resources]","TJ",-34825.6307
"CUB","PCM","E","Final",1997,"Consumption","Industry","Industry not elsewhere specified","Biogasoline","TJ",361.9572
"CUB","PCM","E","Final",1997,"Consumption","Other","Final consumption not elsewhere specified","Biogasoline","TJ",387.8149
"CUB","PCM","E","Final",1997,"Consumption","Other","Residential","Biogasoline","TJ",36428.5932
"CUB","PCM","E","Final",1997,"Supply","TFC compare","Statistical differences","Biogasoline","TJ",1396.12609999999
"CUB","PCM","E","Final",1997,"Supply","Total primary energy supply","Resources [of Biogasoline]","Biogasoline [from Resources]","TJ",35782.2392
"CUB","PCM","E","Final",1997,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline","TJ",35782.2392
